Plot ID,WH,WRC,DF,GF,SP,WWP,RA,BLM,Madrone,Oak,Birch,Ash,Cottonwood,PP,Willow,SS,Juniper,Salal,T. Oregon Grape,D. Oregon Grape,EG Huckleberry,R Huckleberry,Sword Fern,B. fern,Snowberry,Salmonberry,Elderberry,Rose,Oceanspray,Trailing blackberry,Rhody,Beaked Hazelnut,Thimbleberry,Hairy Honeysuckle,In Plum,Grasses,Devil's club,Nettle,Bedstraw,Oregon Oxalis (sorrel),Rush/Sedge,RCG,Scotch Broom,Eng Holly
15-1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,3,0,10,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-1,0,0,90,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3
129-1,20,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,15,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131-1,20,0,60,15,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,7,0,0,35,0,3,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
134-1,10,0,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
95-2,0,0,43,0,0,0,0,0,10,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,3,10,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0
St13-1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,70,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
St13-2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,70,0,0,0,0,0
St25-1,0,25,0,0,25,0,0,0,0,0,0,0,0,0,0,35,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St11-1,50,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St100-1,0,0,15,0,0,0,0,0,25,0,0,0,0,0,20,0,0,10,15,0,0,0,0,5,15,0,0,5,15,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
St120-1,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,20,0,75,0,0,0,0,0,3
136-1,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,25,0,0,20,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0
143-1,0,0,20,0,0,0,0,0,25,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138-1,0,0,0,5,0,0,0,75,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
144-1,0,0,0,0,0,0,25,0,40,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
144-2,0,0,0,0,0,0,3,0,10,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,25,0,0,30,0,0,0,0,0,10,0,35,0,0,0,0,0,0,0,0
99-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,93,0,0,0,0,0,0,0,0
101-1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,0,0,0,3,0,0,0,0,0,20,0,0,40,3,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0
