USNVC CODE,Association Name,WH,WRC,DF,GF,SP,WWP,RA,BLM,Madrone,Oak,Birch,Ash,Cottonwood,PP,Willow,SS,Juniper,Salal,T. Oregon Grape,D. Oregon Grape,EG Huckleberry,R Huckleberry,Snowberry,Salmonberry,Elderberry,Rose,Oceanspray,Trailing blackberry,Rhody,Beaked Hazelnut,Thimbleberry,Hairy Honeysuckle,In Plum,Sword Fern,B. fern,Grasses,Devil's club,Nettle,Bedstraw,Oregon Oxalis (sorrel),Rush/Sedge,RCG,Scotch Broom,Eng Holly
CEGL000070,Douglas fir/salal/sword fern,0,0,77,0,0,0,0,11,0,0,0,0,0,0,0,0,0,43,0,10,0,2,17,0,0,3,14,8,0,20,0,3,0,10,7,6,0,0,2,0,0,0,0,0
CEGL000086,Western hemlock/rhododendron-salal,35,20,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,15,0,3,0,0,0,0,0,1,38,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
CEGL000121,Douglas fir-western hemlock/evergreen huckleberry/sword fern,27,35,56,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,6,26,3,0,0,0,0,4,1,11,7,0,0,0,12,4,0,0,0,0.5,0,0,0,0,0
CEGL000132,Pacific madrone-lodgepole pine/salal,0,0,5,0,51,10,0,0,25,0,0,0,0,0,0,0,0,36.8,0,15.5,0,0,10.3,0,0,7.8,11.6,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0
CEGL000142,Shore pine/slough sedge,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
CEGL000150,Lodgepole pine-Doulgas fir/salal,1,0,32,0,42,2,0,0,0,0,0,0,0,0,0,0,0,61,1,4,12,0,6,0,0,2,3,1,11,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
CEGL000403,Shore Pine-SitkaSpruce/Evergreen Huckleberry,2,4,5,0,2,0,0,0,0,0,0,0,0,0,0,51,0,26,0,0,54,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
CEGL000421,Douglas fir-Pacific madrone/salal,2,2,49,4,4,0,0,0,58,0,0,0,0,0,5,0,0,62,0.5,8,3,0,3,0,0,3,11,3,0,21,0,10,0,1,3,0,0,0,0,0,0,0,0,0
CEGL000422,Douglas fir-Pacific madrone/oceanspray/hairy honeysuckle,0,6,25,0,0,0,0,0,52,0,0,0,0,0,0,0,2,8,4,11,0,0,16,0,0,9,18,4,0,0,0,14,0,1,0,21,0,0,0,0,0,0,0,0
CEGL000456,Douglas fir/baldhip rose-oceanspray,2,0,76,2,8,0,0,0,2,0,0,0,0,0,0,0,0,0,3,15,0,0,2,0,0,6,16,1,0,0,0,3,0,3,3,26,0,0,0,0,0,0,0,0
CEGL000460,Douglas fir/oceanspray-common snowberry,0.5,2,64,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,2,2,0,0,27,0,0,18,49,4,0,0,0,5,0,2,0,18,0,0,0,0,0,0,0,0
CEGL000468,Western red cedar-grand fir/sword fern,2,46,31,20,0,0,12,21,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,4,0,2,3,11,0,0,4,0,3,50,2,0,0,0,1,0,0,0,0,0
