USNVC CODE,Association Name,WH,WRC,DF,GF,SP,WWP,RA,BLM,Madrone,Oak,Birch,Ash,Cottonwood,PP,Willow,SS,Juniper,Salal,T. Oregon Grape,D. Oregon Grape,EG Huckleberry,R Huckleberry,Snowberry,Salmonberry,Elderberry,Rose,Oceanspray,Trailing blackberry,Rhody,Beaked Hazelnut,Thimbleberry,Hairy Honeysuckle,In Plum,Sword Fern,B. fern,Grasses,Devil's club,Nettle,Bedstraw,Oregon Oxalis (sorrel),Rush/Sedge,RCG,Scotch Broom,Eng Holly
CEGL000070,Douglas fir/salal/sword fern,100,100,100,100,100,100,100,40,100,100,100,100,100,100,100,100,100,100,100,80,100,75,47,100,100,75,80,85,100,70,100,65,100,100,70,40,100,100,60,100,100,100,100,100
CEGL000086,Western hemlock/rhododendron-salal,89,52,99,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94,100,76,100,100,100,100,100,63,100,100,100,100,100,47,100,100,100,100,100,100,100,100,100,100
CEGL000121,Douglas fir-western hemlock/evergreen huckleberry/sword fern,100,100,100,100,100,100,100,56,100,100,100,100,100,100,100,100,100,100,100,78,100,89,100,100,100,100,44,67,22,33,100,100,100,100,44,100,100,100,33,100,100,100,100,100
CEGL000132,Pacific madrone-lodgepole pine/salal,100,100,10,100,100,15,100,100,100,100,100,100,100,100,100,100,100,90,100,65,100,100,50,100,100,32,38,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100
CEGL000142,Shore pine/slough sedge,100,100,100,100,99,100,100,100,100,100,100,100,100,100,100,100,100,10,100,100,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
CEGL000150,Lodgepole pine-Doulgas fir/salal,35,100,100,100,100,29,100,100,100,100,100,100,100,100,100,100,100,100,24,53,65,100,18,100,100,71,35,76,18,100,100,100,100,100,82,100,100,100,100,100,100,100,100,100
CEGL000403,Shore Pine-SitkaSpruce/Evergreen Huckleberry,21,21,43,100,36,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,29,43,100,100,100,100,21,79,100,100,100,100,100,100,100,100,100
CEGL000421,Douglas fir-Pacific madrone/salal,9,14,73,18,18,100,100,100,10,100,100,100,100,100,45,100,100,100,41,45,14,100,45,100,100,91,77,68,100,36,100,36,100,55,73,100,100,100,100,100,100,100,100,100
CEGL000422,Douglas fir-Pacific madrone/oceanspray/hairy honeysuckle,100,10,94,100,100,100,100,100,10,100,100,100,100,100,100,100,10,48,68,39,100,100,74,100,100,81,90,55,100,100,100,72,100,52,100,53,100,100,100,100,100,100,100,100
CEGL000456,Douglas fir/baldhip rose-oceanspray,35,100,100,19,27,100,100,100,23,100,100,100,100,100,100,100,100,100,50,69,100,100,50,100,100,100,81,46,100,100,100,27,100,50,54,56,100,100,100,100,100,100,100,100
