USNVC CODE,Association Name,WH,WRC,DF,GF,SP,WWP,RA,BLM,Madrone,Oak,Birch,Ash,Cottonwood,PP,Willow,SS,Juniper,Salal,T. Oregon Grape,D. Oregon Grape,EG Huckleberry,R Huckleberry,Sword Fern,B. fern,Snowberry,Salmonberry,Elderberry,Rose,Oceanspray,Trailing blackberry,Rhody,Beaked Hazelnut,Thimbleberry,Hairy Honeysuckle,In Plum,Grasses,Devil's club,Nettle,Bedstraw,Oregon Oxalis (sorrel),Rush/Sedge,RCG,Scotch Broom,Eng Holly
CEGL000070,Douglas fir/salal/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000086,Western hemlock/rhododendron-salal,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000121,Douglas fir-western hemlock/evergreen huckleberry/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000132,Pacific madrone-lodgepole pine/salal,400,70,50,60,25,24,30,30,70,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000142,Shore pine/slough sedge,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000150,Lodgepole pine-Doulgas fir/salal,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000403,Shore Pine-SitkaSpruce/Evergreen Huckleberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000421,Douglas fir-Pacific madrone/salal,400,70,200,60,25,24,30,30,80,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000422,Douglas fir-Pacific madrone/oceanspray/hairy honeysuckle,400,70,200,60,25,24,30,30,80,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000456,Douglas fir/baldhip rose-oceanspray,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000460,Douglas fir/oceanspray-common snowberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000468,Western red cedar-grand fir/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000469,Western red cedar/Vine maple,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000497,Douglas fir-western red cedar/Oregon oxalis,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000497,Western red cedar-western hemlock/devils club/sword fern,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000548,Oregon white oak/long-stolon sedge-(common camas),1,1,5,1,1,1,1,1,1,54,1,1,1,1,1,1,1,1,20,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1.5,1.5,10,1,1,1,1,1,1,10,1
CEGL000638,Red alder/sword fern,40,1,20,5,25,1,80,5,1,1,1,1,1,1,1,1,1,1,1,5,1,10,70,10,1,65,8,1,7,40,1,1,1,1,1,50,1,3,1.5,1,1,1,1,1
CEGL000639,Red alder/salmonberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000640,Oregon ash/slough sedge,1,1,1,10,1,1,10,1,1,1,1,50,30,1,1,1,1,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000883,Ponderosa pine-Oregon white oak/Bitterbrush,1,1,1,1,1,1,1,1,2,54,2,2,2,80,2,1,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000884,Ponderosa pine-Oregon white oak/Common snowberry Woodland,1,1,1,1,1,1,1,1,2,54,2,2,2,80,2,1,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL000929,Oregon white oak-Douglas fir/common snowberry/sword fern,400,70,50,60,25,24,30,30,2,54,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL001714,Oregon white oak/Roemer's fescue,400,70,50,60,25,24,30,30,2,54,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL002614,Douglas fir-western hemlock/evergreen huckleberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CEGL002615,Douglas fir-western hemlock/Pacific rhododendron-evergreen huckleberry,400,70,50,60,25,24,30,30,2,2,2,2,2,2,2,640,2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
